ID_EVENTO;Data;EVENTO;ARTISTAS;Local/Evento;Local;Endereço;Preço;Companhia;Quem foi;Latitude;Longitude
IDE025;20/08/2016;Show: A Banda Mais Bonita da Cidade;A Banda Mais Bonita da Cidade;Teatro Sérgio Cardoso;Teatro Sérgio Cardoso;R. Rui Barbosa, 153 - Bela Vista, São Paulo - SP, 01326-010;30;FALSE;Sozinha;-23.5566551;-46.644958994247100
IDE026;26/08/2016;Pocket Show: O Terno;O Terno;Unibes Cultural;Unibes Cultural;R. Oscar Freire, 2500 - Sumaré, São Paulo - SP, 05409-012;0;FALSE;Sozinha;-23.5509384;-46.6784303
IDE027;04/09/2016;Show: Baleia;Baleia;CCSP;Centro Cultural São Paulo;Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000;12,5;FALSE;Sozinha;-23.5700325;-46.64023039547910
IDE028;15/10/2016;Show: Vanguart;Vanguart;SESC Bom Retiro;SESC Bom Retiro;Alameda Nothmann, 185 - Campos Elíseos, São Paulo - SP, 01216-000;9;FALSE;Sozinha;-23.5310528;-46.64327085
IDE029;16/10/2016;Show: Festival Fuzzland;E a terra nunca me pareceu tão distante e Ventre;Estúdio;Estúdio;Av. Pedroso de Morais, 1036 - Pinheiros, São Paulo - SP, 05420-001;20;FALSE;Sozinha;-23.5614752;-46.6930019
IDE030;19/11/2016;Show: Móveis Coloniais de Acaju;Móveis Coloniais de Acaju;Teatro Mars;Teatro Mars Bela Vista;Rua João Passalaqua, 80 - Bela Vista, São Paulo - SP, 01326-020;50;TRUE;Beatriz;-23.5538209;-46.64832
IDE031;02/12/2016;Show: CCXP16;Supercombo;Comic Con Experience;Expo Imigrantes;1,5, Rod. dos Imigrantes - Vila Água Funda, 04329-900;0;FALSE;Sozinha;-23.64337205;-46.629625428148200
IDE032;07/12/2016;Show: Simple Plan;Simple Plan;Citibank Hall;Citibank Hall;Av. das Nações Unidas, 17955 - Vila Almeida, São Paulo - SP, 04795-100;120;FALSE;Sozinha;-23.648192700000000;-46.72425395736150
IDE033;15/12/2016;Show: O Terno;O Terno;CCSP;Centro Cultural São Paulo;Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000;12,5;FALSE;Sozinha;-23.5700325;-46.64023039547910
IDE034;20/01/2017;Show: Hierofante Púrpura + Ventre;Hierofante Púrpura + Ventre;CCSP;Centro Cultural São Paulo;Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000;10;FALSE;Sozinha;-23.5700325;-46.64023039547910
IDE035;25/01/2017;Show: Supercombo;Supercombo;SESC Pompeia;SESC Pompeia;R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000;6;FALSE;Sozinha;-23.5257729;-46.68352153942080
IDE036;12/03/2017;Show: Anavitória;Anavitória;Teatro Polytheama;Teatro Polytheama Jundiaí;R. Barão de Jundiaí, 176 - Centro, Jundiaí - SP, 13201-010;40;FALSE;Sozinha;-23.1923946;-46.880882082053100
IDE037;15/03/2017;Show: Festival Sai da Rede 2017;Rubel;CCBB;Centro Cultural Banco do Brasil São Paulo;R. Álvares Penteado, 112 - Centro Histórico de São Paulo, São Paulo - SP, 01012-000;10;TRUE;Beatriz;-23.5475552;-46.6346871
IDE038;19/03/2017;Show: Vanguart;Vanguart;CCSP;Centro Cultural São Paulo;Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000;12,5;FALSE;Sozinha;-23.5700325;-46.64023039547910
IDE039;13/04/2017;Show: E a terra nunca me pareceu tão distante e Ventre;E a terra nunca me pareceu tão distante e Ventre;Breve;Breve rua Clélia 470;R. Clélia, 470 - Pompeia, São Paulo - SP, 05042-000;15;FALSE;Sozinha;-23.5250682;-46.6839227
IDE040;07/05/2017;Show: Silva;Silva;SESC Santana;SESC Santana;Av. Luiz Dumont Villares, 579 - Santana, São Paulo - SP, 02085-100;7,5;TRUE;Rafaella;-23.4965872;-46.612798144322500
IDE041;28/05/2017;Show: Selvagens à Procura de Lei e Vespas Mandarinas;Selvagens à Procura de Lei e Vespas Mandarinas;Cine Joia;Cine Joia;Praça Carlos Gomes, 82 - Se, São Paulo - SP, 01501-040;7;FALSE;Sozinha;-23.5533484;-46.6358589
IDE042;08/07/2017;Show: Fest Contrapedal;Baleia;CCSP;Centro Cultural São Paulo;Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000;0;FALSE;Sozinha;-23.5700325;-46.64023039547910
IDE043;14/07/2017;Show: Maglore;Maglore;CCSP;Centro Cultural São Paulo;Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000;12,5;FALSE;Sozinha;-23.5700325;-46.64023039547910
IDE044;16/07/2017;Pocket show: Zimbra;Zimbra;Vão do Masp;Vão do Masp;Av. Paulista, 1578 - Bela Vista, São Paulo - SP, 01310-200;0;FALSE;Sozinha;-23.5614472;-46.65590238664120
IDE045;07/10/2017;Show: Vanguart;Vanguart;Teatro Eva Wilma;Teatro Eva Wilma;R. Antônio de Lucena, 146 - Chácara Califórnia, São Paulo - SP, 03407-050;40;TRUE;Beatriz;-23.5438768;-46.5522321
IDE046;14/10/2017;Show: Sacola Alternativa;Drik Barbosa, Tiê e Ventre;Praça das Artes;Praça das Artes São Paulo;Av. São João, 281 - Centro Histórico de São Paulo, São Paulo - SP, 01035-000;0;FALSE;Sozinha;-23.55996415;-46.751134364203000
IDE047;07/11/2017;Show: Coldplay (Abertura: Iza);Coldplay e Iza;Allianz Parque;Allianz Parque;Av. Francisco Matarazzo, 1705 - Água Branca, São Paulo - SP, 05001-200;255;TRUE;Camila;-23.52749715;-46.67852807811730
IDE048;15/11/2017;Show: O Terno;O Terno;SESC Santana;SESC Santana;Av. Luiz Dumont Villares, 579 - Santana, São Paulo - SP, 02085-100;7,5;FALSE;Sozinha;-23.4965872;-46.612798144322500
IDE049;14/01/2018;Show: Maglore;Maglore;CCSP;Centro Cultural São Paulo;Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000;12,5;FALSE;Sozinha;-23.5700325;-46.64023039547910
IDE050;28/02/2018;Show: Foo Fighters e Queens of the Stone Age (abertura: Ego Kill Talent);Foo Fighters, Queens of the Stone Age e Ego Kill Talent;Allianz Parque;Allianz Parque;Av. Francisco Matarazzo, 1705 - Água Branca, São Paulo - SP, 05001-200;245;FALSE;Sozinha;-23.52749715;-46.67852807811730
IDE051;14/03/2018;Show: Baleia;Baleia;SESC 24 de Maio;SESC 24 de Maio;R. 24 de Maio, 109 - República, São Paulo - SP, 01041-001;9;FALSE;Sozinha;-23.5441168;-46.6400018
IDE052;17/03/2018;Show: Supercombo;Supercombo;SESC Jundiaí;SESC Jundiaí;Av. Antônio Frederico Ozanan, 6600 - Jardim Botânico, Jundiaí - SP, 13214-206;6;FALSE;Sozinha;-23.17373985;-46.897713364294900
IDE053;18/03/2018;Show: Maglore;Maglore;SESC Bom Retiro;SESC Bom Retiro;Alameda Nothmann, 185 - Campos Elíseos, São Paulo - SP, 01216-000;9;FALSE;Sozinha;-23.5310528;-46.64327085
IDE054;21/04/2018;Show: Johnny Hooker;Johnny Hooker;SESC Bom Retiro;SESC Bom Retiro;Alameda Nothmann, 185 - Campos Elíseos, São Paulo - SP, 01216-000;9;FALSE;Sozinha;-23.5310528;-46.64327085
IDE055;30/04/2018;Show: Far From Alaska;Far From Alaska;SESC Carmo;SESC Carmo Sé;R. do Carmo, 147 - Sé, São Paulo - SP, 01019-020;6;FALSE;Sozinha;-23.5517077;-46.63008807870370
IDE056;19/05/2018;Show: Virada Cultural 2018;Fresno;Tendal da Lapa;Tendal da Lapa;R. Guaicurus, 1100 - Água Branca, São Paulo - SP, 05033-002;0;FALSE;Sozinha;-23.522004000000000;-46.69622361504350
IDE057;15/06/2018;Show: Maglore;Maglore;Auditório Ibirapuera;Auditório Ibirapuera;Av. Pedro Álvares Cabral, 0 - Ibirapuera, São Paulo - SP, 04094-050;15;FALSE;Sozinha;-23.5856655;-46.656533678774000
IDE058;30/06/2018;Show: Silva;Silva;SESC Vila Mariana;SESC Vila Mariana;R. Pelotas, 141 - Vila Mariana, São Paulo - SP, 04012-000;9;TRUE;Daniel;-23.58246865;-46.64409241726080
IDE059;05/07/2018;Show: Francisco, el Hombre;Francisco, el Hombre;SESC 24 de Maio;SESC 24 de Maio;R. 24 de Maio, 109 - República, São Paulo - SP, 01041-001;9;FALSE;Sozinha;-23.5441168;-46.6400018
IDE060;13/07/2018;Show: Vanguart;Vanguart;SESC Vila Mariana;SESC Vila Mariana;R. Pelotas, 141 - Vila Mariana, São Paulo - SP, 04012-000;12;FALSE;Sozinha;-23.58246865;-46.64409241726080
IDE061;15/07/2018;Show: Tim Bernardes;Tim Bernardes;SESC Vila Mariana;SESC Vila Mariana;R. Pelotas, 141 - Vila Mariana, São Paulo - SP, 04012-000;12;FALSE;Sozinha;-23.58246865;-46.64409241726080
IDE062;19/07/2018;Show: Selvagens à Procura de Lei;Selvagens à Procura de Lei;Mundo Pensante;Mundo Pensante;R. Treze de Maio, 830 - Bela Vista, São Paulo - SP, 01327-000;14;FALSE;Sozinha;-23.5605616;-46.6463612
IDE063;30/07/2018;Show: Rubel;Rubel;SESC Carmo;SESC Carmo Sé;R. do Carmo, 147 - Sé, São Paulo - SP, 01019-020;6;TRUE;Mariangela;-23.5517077;-46.63008807870370
IDE064;05/08/2018;Show: Cícero;Cícero;SESC Bom Retiro;SESC Bom Retiro;Alameda Nothmann, 185 - Campos Elíseos, São Paulo - SP, 01216-000;9;FALSE;Sozinha;-23.5310528;-46.64327085
IDE065;17/08/2018;Show: Lenine;Lenine;SESC Pinheiros;SESC Pinheiros;R. Paes Leme, 195 - Pinheiros, São Paulo - SP, 05424-150;0;TRUE;César;-23.5680244;-46.69780334024130
IDE066;31/08/2018;Show: Festival Sai da Rede 2018;Ana Muller;CCBB;Centro Cultural Banco do Brasil São Paulo;R. Álvares Penteado, 112 - Centro Histórico de São Paulo, São Paulo - SP, 01012-000;18;FALSE;Sozinha;-23.5475552;-46.6346871
IDE067;08/09/2018;Show: Vespas Mandarinas;Vespas Mandarinas;CCSP;Centro Cultural São Paulo;Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000;10;FALSE;Sozinha;-23.5700325;-46.64023039547910
IDE068;14/09/2018;Show: Selvagens à Procura de Lei;Selvagens à Procura de Lei;SESC Avenida Paulista;SESC Avenida Paulista;Av. Paulista, 119 - Bela Vista, São Paulo - SP, 01311-903;6;FALSE;Sozinha;-23.5694767;-46.6461328
IDE069;27/09/2018;Show: Fresno;Fresno;Yellow Pubmarine;Yellow Pubmarine Jundiaí;R. Prof. João Batista Curado, 80 - 8 - Anhangabaú, Jundiaí - SP, 13209-020;55;FALSE;Sozinha;-23.1874914;-46.8952686
IDE070;10/11/2018;Show: Rubel;Rubel;Casa Natura Musical;Casa Natura Musical;R. Artur de Azevedo, 2134 - Pinheiros, São Paulo - SP, 05404-005;50;FALSE;Sozinha;-23.5679567;-46.6908336
IDE071;17/11/2018;Show: Far From Alaska e Huey;Far From Alaska e Huey;SESC Pompeia;SESC Pompeia;R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000;9;FALSE;Sozinha;-23.5257729;-46.68352153942080
IDE072;06/12/2018;Show: CCXP18;Zimbra;Comic Con Experience;Expo Imigrantes;1,5, Rod. dos Imigrantes - Vila Água Funda, 04329-900;0;FALSE;Sozinha;-23.64337205;-46.629625428148200
IDE073;15/12/2018;Show: Supercombo;Supercombo;Acadêmicos do Baixo Augusta;Acadêmicos do Baixo Augusta;R. Rêgo Freitas, 553 - República, São Paulo - SP, 01220-010;0;FALSE;Sozinha;-23.5468419;-46.6466039
IDE074;19/12/2018;Show: Tim Bernardes;Tim Bernardes;Theatro São Pedro;Theatro São Pedro Barra Funda;R. Barra Funda, 161 - Barra Funda, São Paulo - SP, 01152-000;50;FALSE;Sozinha;-23.5280917;-46.6613891
IDE075;13/01/2019;Show: Tiê;Tiê;SESC Bom Retiro;SESC Bom Retiro;Alameda Nothmann, 185 - Campos Elíseos, São Paulo - SP, 01216-000;9;FALSE;Sozinha;-23.5310528;-46.64327085
IDE076;20/01/2019;Show: Tuyo ;Tuyo ;SESC Pompeia;SESC Pompeia;R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000;0;FALSE;Sozinha;-23.5257729;-46.68352153942080
IDE077;31/01/2019;Show: Vanguart;Vanguart;Casa Natura Musical;Casa Natura Musical;R. Artur de Azevedo, 2134 - Pinheiros, São Paulo - SP, 05404-005;50;FALSE;Sozinha;-23.5679567;-46.6908336
