ENDEREÇO;GRATUITO;Abertura;INTERNACIONAL;FESTIVAL;ACOMPANHADA;;
Av. Pedroso de Morais, 1036 - Pinheiros, São Paulo - SP, 05420-001;False;False;False;True;False;;
Av. Pedroso de Morais, 1036 - Pinheiros, São Paulo - SP, 05420-001;False;False;False;True;False;;
Av. Pedroso de Morais, 1036 - Pinheiros, São Paulo - SP, 05420-001;False;False;False;True;False;;
Av. Pedroso de Morais, 1036 - Pinheiros, São Paulo - SP, 05420-001;False;False;False;True;False;;
Av. Pedroso de Morais, 1036 - Pinheiros, São Paulo - SP, 05420-001;False;False;False;True;False;;
Av. Pedroso de Morais, 1036 - Pinheiros, São Paulo - SP, 05420-001;False;False;False;True;False;;
Av. Pedroso de Morais, 1036 - Pinheiros, São Paulo - SP, 05420-001;False;False;False;True;False;;
Centro Histórico de São Paulo, São Paulo - SP, 01010-001;True;False;False;False;False;;
Centro Histórico de São Paulo, São Paulo - SP, 01010-001;True;False;False;False;False;;
R. do Carmo, 147 - Sé, São Paulo - SP, 01019-020;False;False;False;False;False;;
R. Dr. Vila Nova, 245 - Vila Buarque, São Paulo - SP, 01222-020;False;False;False;False;False;;
R. Rui Barbosa, 153 - Bela Vista, São Paulo - SP, 01326-010;False;False;False;False;False;;
R. Oscar Freire, 2500 - Sumaré, São Paulo - SP, 05409-012;True;False;False;False;False;;
Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000;False;False;False;False;False;;
Alameda Nothmann, 185 - Campos Elíseos, São Paulo - SP, 01216-000;False;False;False;False;False;;
Av. Pedroso de Morais, 1036 - Pinheiros, São Paulo - SP, 05420-001;False;False;False;False;False;;
Av. Pedroso de Morais, 1036 - Pinheiros, São Paulo - SP, 05420-001;False;False;False;False;False;;
1,5, Rod. dos Imigrantes - Vila Água Funda, 04329-900;False;False;False;False;False;;
Av. das Nações Unidas, 17955 - Vila Almeida, São Paulo - SP, 04795-100;False;False;True;False;False;;
Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000;False;False;False;False;False;;
Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000;False;False;False;False;False;;
R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000;False;False;False;False;False;;
Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000;False;False;False;False;False;;
R. Clélia, 470 - Pompeia, São Paulo - SP, 05042-000;False;False;False;False;False;;
R. Clélia, 470 - Pompeia, São Paulo - SP, 05042-000;False;False;False;False;False;;
Av. Luiz Dumont Villares, 579 - Santana, São Paulo - SP, 02085-100;False;False;False;False;False;;
Praça Carlos Gomes, 82 - Se, São Paulo - SP, 01501-040;False;False;False;False;False;;
Praça Carlos Gomes, 82 - Se, São Paulo - SP, 01501-040;False;False;False;False;False;;
Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000;False;False;False;False;False;;
Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000;False;False;False;False;False;;
Av. Paulista, 1578 - Bela Vista, São Paulo - SP, 01310-200;True;False;False;False;False;;
Av. São João, 281 - Centro Histórico de São Paulo, São Paulo - SP, 01035-000;True;False;False;True;False;;
Av. São João, 281 - Centro Histórico de São Paulo, São Paulo - SP, 01035-000;True;False;False;True;False;;
Av. São João, 281 - Centro Histórico de São Paulo, São Paulo - SP, 01035-000;True;False;False;True;False;;
Av. Luiz Dumont Villares, 579 - Santana, São Paulo - SP, 02085-100;False;False;False;False;False;;
Av. Francisco Matarazzo, 1705 - Água Branca, São Paulo - SP, 05001-200;False;True;False;False;False;;
Av. Francisco Matarazzo, 1705 - Água Branca, São Paulo - SP, 05001-200;False;False;True;False;False;;
Av. Francisco Matarazzo, 1705 - Água Branca, São Paulo - SP, 05001-200;False;False;True;False;False;;
R. 24 de Maio, 109 - República, São Paulo - SP, 01041-001;False;False;False;False;False;;
Av. Antônio Frederico Ozanan, 6600 - Jardim Botânico, Jundiaí - SP, 13214-206;False;False;False;False;False;;
Alameda Nothmann, 185 - Campos Elíseos, São Paulo - SP, 01216-000;False;False;False;False;False;;
Alameda Nothmann, 185 - Campos Elíseos, São Paulo - SP, 01216-000;False;False;False;False;False;;
R. do Carmo, 147 - Sé, São Paulo - SP, 01019-020;False;False;False;False;False;;
R. Guaicurus, 1100 - Água Branca, São Paulo - SP, 05033-002;True;False;False;True;False;;
Av. Pedro Álvares Cabral, 0 - Ibirapuera, São Paulo - SP, 04094-050;False;False;False;False;False;;
R. 24 de Maio, 109 - República, São Paulo - SP, 01041-001;False;False;False;False;False;;
R. Pelotas, 141 - Vila Mariana, São Paulo - SP, 04012-000;False;False;False;False;False;;
R. Pelotas, 141 - Vila Mariana, São Paulo - SP, 04012-000;False;False;False;False;False;;
R. Treze de Maio, 830 - Bela Vista, São Paulo - SP, 01327-000;False;False;False;False;False;;
Alameda Nothmann, 185 - Campos Elíseos, São Paulo - SP, 01216-000;False;False;False;False;False;;
R. Álvares Penteado, 112 - Centro Histórico de São Paulo, São Paulo - SP, 01012-000;False;False;False;True;False;;
Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000;False;False;False;False;False;;
Av. Paulista, 119 - Bela Vista, São Paulo - SP, 01311-903;False;False;False;False;False;;
R. Prof. João Batista Curado, 80 - 8 - Anhangabaú, Jundiaí - SP, 13209-020;False;False;False;False;False;;
R. Artur de Azevedo, 2134 - Pinheiros, São Paulo - SP, 05404-005;False;False;False;False;False;;
R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000;False;False;False;False;False;;
R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000;False;False;False;False;False;;
1,5, Rod. dos Imigrantes - Vila Água Funda, 04329-900;False;False;False;False;False;;
R. Rêgo Freitas, 553 - República, São Paulo - SP, 01220-010;True;False;False;False;False;;
R. Barra Funda, 161 - Barra Funda, São Paulo - SP, 01152-000;False;False;False;False;False;;
Alameda Nothmann, 185 - Campos Elíseos, São Paulo - SP, 01216-000;True;False;False;False;False;;
R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000;True;False;False;False;False;;
R. Artur de Azevedo, 2134 - Pinheiros, São Paulo - SP, 05404-005;False;False;False;False;False;;
R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000;True;False;False;False;False;;
R. Barão de Jundiaí, 176 - Centro, Jundiaí - SP, 13201-010;False;False;False;False;False;;
R. Padre Adelino, 1000 - Belenzinho, São Paulo - SP, 03303-000;False;False;False;False;False;;
Av. Brg. Faria Lima, 724 - Pinheiros, São Paulo - SP, 05426-200;False;False;False;False;False;;
Av. Brg. Faria Lima, 724 - Pinheiros, São Paulo - SP, 05426-200;False;False;False;False;False;;
R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000;True;False;False;False;False;;
R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000;False;False;False;False;False;;
Alameda Nothmann, 185 - Campos Elíseos, São Paulo - SP, 01216-000;False;False;False;False;False;;
Av. Paulista, 119 - Bela Vista, São Paulo - SP, 01311-903;False;False;False;False;False;;
R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000;False;False;False;False;False;;
Av. Pedro Álvares Cabral, 0 - Ibirapuera, São Paulo - SP, 04094-050;False;False;False;False;False;;
Av. Cásper Líbero, 598-678 - Centro Histórico de São Paulo, São Paulo - SP, 01033-001;True;False;False;True;False;;
R. Padre Adelino, 1000 - Belenzinho, São Paulo - SP, 03303-000;False;False;False;False;False;;
Av. Mário de Andrade, 664 - Barra Funda, São Paulo - SP, 01156-001;True;False;True;True;False;;
Av. Mário de Andrade, 664 - Barra Funda, São Paulo - SP, 01156-001;True;False;False;True;False;;
Av. Mário de Andrade, 664 - Barra Funda, São Paulo - SP, 01156-001;True;False;False;True;False;;
R. Pelotas, 141 - Vila Mariana, São Paulo - SP, 04012-000;False;False;False;False;False;;
R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000;False;False;False;False;False;;
R. Paes Leme, 195 - Pinheiros, São Paulo - SP, 05424-150;False;False;False;False;False;;
R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000;False;False;False;False;False;;
Rua Palestra Itália, 500 - Loja 263, 3° Piso - Perdizes, 05005-900;False;False;False;False;False;;
Av. Manuel Alves Soares, 1100 - Parque Colonial, São Paulo - SP, 04821-270;True;False;False;False;False;;
Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000;False;False;False;False;False;;
Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000;False;False;False;False;False;;
R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000;False;False;False;False;False;;
Praça Ramos de Azevedo, s/n - República, São Paulo - SP, 01037-010;False;False;False;False;False;;
1,5, Rod. dos Imigrantes - Vila Água Funda, 04329-900;False;False;False;False;False;;
Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000;False;False;False;False;False;;
Alameda Nothmann, 185 - Campos Elíseos, São Paulo - SP, 01216-000;False;False;False;False;False;;
R. Padre Adelino, 1000 - Belenzinho, São Paulo - SP, 03303-000;False;False;False;False;False;;
R. Pelotas, 141 - Vila Mariana, São Paulo - SP, 04012-000;False;False;False;False;False;;
Av. Paulista, 2073 - Cerqueira César, São Paulo - SP, 01311-300;True;False;False;False;False;;
Av. Paulista, 2073 - Cerqueira César, São Paulo - SP, 01311-300;True;False;False;False;False;;
Av. Pres. Castelo Branco, 5700 - Bom Retiro, São Paulo - SP, 01142-300;True;False;False;True;False;;
Av. Antônio Frederico Ozanan, 6600 - Jardim Botânico, Jundiaí - SP, 13214-206;False;False;False;False;False;;
R. Augusta, 591 - Consolação, São Paulo - SP, 01305-000;False;False;False;False;False;;
R. Paes Leme, 195 - Pinheiros, São Paulo - SP, 05424-150;False;False;False;False;False;;
Av. Francisco Matarazzo, 694 - Água Branca, São Paulo - SP, 05001-100;False;False;False;False;False;;
R. Pelotas, 141 - Vila Mariana, São Paulo - SP, 04012-000;False;False;False;False;False;;
2501 Barton Springs Rd, Austin, TX 78746, EUA;False;False;True;True;False;;
2502 Barton Springs Rd, Austin, TX 78746, EUA;False;False;True;True;False;;
2503 Barton Springs Rd, Austin, TX 78746, EUA;False;False;True;True;False;;
2504 Barton Springs Rd, Austin, TX 78746, EUA;False;False;True;True;False;;
2505 Barton Springs Rd, Austin, TX 78746, EUA;False;False;True;True;False;;
2506 Barton Springs Rd, Austin, TX 78746, EUA;False;False;True;True;False;;
2507 Barton Springs Rd, Austin, TX 78746, EUA;False;False;True;True;False;;
2508 Barton Springs Rd, Austin, TX 78746, EUA;False;False;True;True;False;;
2509 Barton Springs Rd, Austin, TX 78746, EUA;False;False;True;True;False;;
2510 Barton Springs Rd, Austin, TX 78746, EUA;False;False;True;True;False;;
2511 Barton Springs Rd, Austin, TX 78746, EUA;False;False;True;True;False;;
2512 Barton Springs Rd, Austin, TX 78746, EUA;False;False;True;True;False;;
2513 Barton Springs Rd, Austin, TX 78746, EUA;False;False;True;True;False;;
2514 Barton Springs Rd, Austin, TX 78746, EUA;False;False;True;True;False;;
2515 Barton Springs Rd, Austin, TX 78746, EUA;False;False;True;True;False;;
2516 Barton Springs Rd, Austin, TX 78746, EUA;False;False;True;True;False;;
2517 Barton Springs Rd, Austin, TX 78746, EUA;False;False;True;True;False;;
R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000;False;False;False;False;False;;
Rua Vergueiro, 1000 - Paraíso, São Paulo - SP, 01504-000;True;False;False;False;False;;
R. Clélia, 93 - Água Branca, São Paulo - SP, 05042-000;False;False;False;False;False;;
R. Aspicuelta, 194 - Alto de Pinheiros, São Paulo - SP, 05433-010;False;False;False;False;False;;
R. Pelotas, 141 - Vila Mariana, São Paulo - SP, 04012-000;False;False;False;False;False;;
R. Paes Leme, 195 - Pinheiros, São Paulo - SP, 05424-150;False;False;False;False;False;;
Av. Sen. Teotônio Vilela, 400 - Jardim Malia I, São Paulo - SP, 04792-090;False;False;True;True;False;;
Av. Sen. Teotônio Vilela, 400 - Jardim Malia I, São Paulo - SP, 04792-091;False;False;True;True;False;;
Av. Sen. Teotônio Vilela, 400 - Jardim Malia I, São Paulo - SP, 04792-092;False;False;False;True;False;;
Av. Sen. Teotônio Vilela, 400 - Jardim Malia I, São Paulo - SP, 04792-093;False;False;False;True;False;;
Av. Sen. Teotônio Vilela, 400 - Jardim Malia I, São Paulo - SP, 04792-094;False;False;False;True;False;;
Av. Sen. Teotônio Vilela, 400 - Jardim Malia I, São Paulo - SP, 04792-095;False;False;True;True;False;;
Av. Sen. Teotônio Vilela, 400 - Jardim Malia I, São Paulo - SP, 04792-096;False;False;True;True;False;;
R. do Carmo, 147 - Sé, São Paulo - SP, 01019-020;False;False;False;False;False;;
Av. São João, 281 - Centro Histórico de São Paulo, São Paulo - SP, 01035-000;True;False;False;True;False;;
República, São Paulo - SP, 01302-000;True;False;False;True;False;;
